"acct_no","card_no","cust_name","uid","mob_phone","mge_org","recom_no","mp_number","mp_type","mp_status","purch_date","purch_mth","total_amt","total_mths","mth_instl","instl_cnt","rem_ppl","total_fee","rem_fee","rec_fee","etl_dt"
"0050320617","6228151354191482",赖帝宏,"320926197009072094","15862072497","""""","""""","0001",大额分期,活动,"20200109","01",166000.00,36,4611.11,26,46111.14,19920.00,0.00,19920.00,"2022-03-08"
"0050174936","6228151354699591",景茂剑,"330381198007022227","13851018877","""""","""""","0001",大额分期,活动,"20190902","09",100000.00,36,2777.77,30,16666.65,12000.00,2000.04,9999.96,"2022-03-08"
"0000001912","6228159353008623",贺驻,"32092619650425937X","13222334455","""""","""""","0003",大额分期,活动,"20190927","09",50000.00,36,1388.89,29,9722.19,6000.00,0.00,6000.00,"2022-03-08"
"0000170683","6228159214321629",乔锋恒,"32092619770527073X","15961938166","""""","""""","0001",大额分期,活动,"20190530","05",200000.00,36,5555.56,33,16666.66,24000.00,0.00,24000.00,"2022-03-08"
"0050755186","6228161392653245",官驻龄,"320982199809063698","17372187595","""""","""""","0004",灵活分期,活动,"20211212","12",3773.00,12,314.42,3,2829.74,264.11,198.09,66.02,"2022-03-08"
"0000239181","6228159578124627",倪茂愈,"320926196612292695","18761200999","""""","""""","0001",大额分期,活动,"20191022","10",200000.00,36,5555.55,28,44444.44,24000.00,5333.36,18666.64,"2022-03-08"
"0050307646","6228151354188900",贺俩,"331081199703263381","13776106459","""""","""""","0001",账单分期,活动,"20210601","06",2893.73,12,241.15,9,723.43,202.56,0.00,202.56,"2022-03-08"
"0050822401","6228151354969234",赖剑怒,"320926197203013709","18796535629","""""","""""","0001",大额分期,活动,"20201124","11",30000.00,24,1250.00,15,11250.00,2400.00,0.00,2400.00,"2022-03-08"
"0051210272","6228151354957056",武墒珲,"412702199906201117","18339823951","""""","""""","0001",账单分期,活动,"20211231","12",2000.00,6,333.33,2,1333.34,70.00,46.68,23.32,"2022-03-08"
"0050391203","6228151354127833",霍篇龄,"320926198108164394","13401718883","""""","""""","0001",大额分期,活动,"20200512","05",125000.00,36,3472.22,22,48611.15,15000.00,0.00,15000.00,"2022-03-08"
"0051007574","6228151354958526",赖虫络,"320982199910239010","13347996123","""""","""""","0001",大额分期,活动,"20210203","02",100000.00,24,4166.67,13,45833.31,8000.00,0.00,8000.00,"2022-03-08"
"0050209411","6228151354644332",向败患,"320982198401030679","18761206668","""""","""""","0001",大额分期,活动,"20191217","12",28000.00,36,777.78,27,6999.97,3360.00,0.00,3360.00,"2022-03-08"
"0050042355","6228151354661575",颜爹嘟,"330624199111226397","17768232233","""""","""""","0001",账单分期,活动,"20210405","04",15750.00,12,1312.50,11,1312.50,1102.50,0.00,1102.50,"2022-03-08"
"0000063094","6228159300646624",贺颗,"320982198606269325","13770235553","""""","""""","0010",灵活分期,活动,"20211212","12",6100.00,6,1016.67,3,3049.99,213.50,106.76,106.74,"2022-03-08"
"0050312486","6228151354189056",谈旱驻,"320926198103221812","13815544363","""""","""""","0001",大额分期,活动,"20191212","12",50000.00,36,1388.89,27,12499.97,6000.00,0.00,6000.00,"2022-03-08"
"0051155806","6228151354958617",施赵忿,"320982200009132718","18262868879","""""","""""","0001",账单分期,活动,"20210818","08",3593.95,12,299.49,6,1796.97,251.58,0.00,251.58,"2022-03-08"
"0000472227","6228159817963629",樊龄剑,"320926197811050327","18949761591","""""","""""","0003",账单分期,活动,"20211129","11",2703.00,6,450.50,3,1351.50,94.61,47.31,47.30,"2022-03-08"
"0050045034","6228151354666004",常赴勇,"412722199604030768","15221412363","""""","""""","0001",账单分期,活动,"20211012","10",4400.00,12,366.67,5,2566.65,308.00,179.69,128.31,"2022-03-08"
"0050859138","6228151354962346",陶滨炎,"320982198608284625","18352029152","""""","""""","0001",大额分期,活动,"20201130","11",200000.00,36,5555.56,15,116666.65,24000.00,0.00,24000.00,"2022-03-08"
"0050965845","6228151354954186",屈吁唐,"320982199812270516","15371165367","""""","""""","0001",大额分期,活动,"20210115","01",115000.00,36,3194.44,14,70277.79,13800.00,8433.38,5366.62,"2022-03-08"
"0050664778","6228151354905915",殷恒恒,"330702198312088042","14762227521","""""","""""","0001",大额分期,活动,"20200922","09",50000.00,24,2083.34,17,14583.34,4000.00,0.00,4000.00,"2022-03-08"
"0050282742","6228151354113221",乔敦患,"320926197907089066","13925824991","""""","""""","0001",账单分期,活动,"20210811","08",4498.00,12,374.84,7,1874.17,314.86,0.00,314.86,"2022-03-08"
"0050624730","6228161392675131",常瘫,"320982199603031244","13851010921","""""","""""","0001",账单分期,活动,"20210911","09",2815.18,12,234.60,6,1407.58,197.06,98.54,98.52,"2022-03-08"
"0050325422","6228151354193116",殷坟携,"330703197808274369","13092153333","""""","""""","0001",大额分期,活动,"20200117","01",230000.00,36,6388.89,26,63888.86,27600.00,7666.70,19933.30,"2022-03-08"
"0050251428","6228151354163267",樊宅,"330624199306249396","18068866799","""""","""""","0001",灵活分期,活动,"20200506","05",10000.00,24,416.66,22,833.33,1440.00,0.00,1440.00,"2022-03-08"
"0050311625","6228151354189221",樊辑驳,"320926197708264626","13813417445","""""","""""","0001",大额分期,活动,"20191206","12",100000.00,36,2777.78,27,24999.97,12000.00,0.00,12000.00,"2022-03-08"
"0050772921","6228161392610708",臧添休,"320982198708182394","13912525838","""""","""""","0001",大额分期,活动,"20201126","11",50000.00,36,1388.89,15,29166.65,6000.00,0.00,6000.00,"2022-03-08"
"0000408655","6228159851339629",樊巡巡,"320982198605070517","13485270868","""""","""""","0001",大额分期,活动,"20190425","04",54000.00,36,1500.00,34,3000.00,6480.00,0.00,6480.00,"2022-03-08"
"0050834520","6228161392617232",易混碗,"320982199707171292","17714836662","""""","""""","0001",账单分期,活动,"20211111","11",2800.00,6,466.66,4,933.33,98.00,32.68,65.32,"2022-03-08"
"0000429727","6228159828263621",陶卵,"320926196003159303","13485272825","""""","""""","0001",大额分期,活动,"20190528","05",50000.00,36,1388.89,33,4166.65,4500.00,0.00,4500.00,"2022-03-08"
"0050849921","6228151354962072",向筛,"320982199212121795","15851006022","""""","""""","0001",大额分期,活动,"20201127","11",120000.00,36,3333.34,15,70000.03,14400.00,0.00,14400.00,"2022-03-08"
"0000490080","6228159864620627",易邢,"331003197212106690","15952653918","""""","""""","0001",大额分期,活动,"20190720","07",110000.00,36,3055.56,31,15277.77,9900.00,0.00,9900.00,"2022-03-08"
"0050261608","6228151354156469",贺吁斩,"32092619770711073X","15862052088","""""","""""","0001",大额分期,活动,"20191101","11",160000.00,36,4444.44,28,35555.56,19200.00,4266.72,14933.28,"2022-03-08"
"0051196201","6228151354957759",安宽唐,"320911198705053575","13301412279","""""","""""","0001",大额分期,活动,"20210916","09",40000.00,36,1111.11,6,33333.34,4800.00,4000.02,799.98,"2022-03-08"
"0050953958","6228151354967873",贺勇,"320926197006274395","13131043828","""""","""""","0001",大额分期,活动,"20210119","01",120000.00,24,5000.00,13,55000.00,9600.00,0.00,9600.00,"2022-03-08"
"0050339200","6228151354129920",季萎剑,"330702198404101427","18795485885","""""","""""","0002",大额分期,活动,"20210116","01",120000.00,36,3333.33,14,73333.37,14400.00,0.00,14400.00,"2022-03-08"
"0000275855","6228159512539625",毕帐络,"320982198510014694","18261245188","""""","""""","0001",大额分期,活动,"20191217","12",140000.00,36,3888.89,27,34999.97,16800.00,0.00,16800.00,"2022-03-08"
"0050655613","6228161392604438",贺丸汪,"350126196306250587","18851484355","""""","""""","0011",账单分期,新增的,"20220218","02",1630.30,12,135.86,0,1630.30,114.12,114.12,0.00,"2022-03-08"
"0050238579","6228151354101077",樊宽赤,"320926196908230717","13584777008","""""","""""","0001",大额分期,活动,"20190927","09",85000.00,36,2361.12,29,16527.80,10200.00,0.00,10200.00,"2022-03-08"
"0000005991","6228159352044629",贺败瘫,"320926197805059843","15851018366","""""","""""","0006",账单分期,活动,"20211211","12",17682.00,12,1473.50,3,13261.50,1237.74,928.32,309.42,"2022-03-08"
"0000472227","6228159817963629",樊龄剑,"320926197811050327","18949761591","""""","""""","0004",账单分期,活动,"20220118","01",2588.14,3,862.71,1,1725.43,41.41,27.61,13.80,"2022-03-08"
"0050752004","6228151354969184",辛鹿携,"320982198207090694","15751286666","""""","""""","0001",大额分期,活动,"20210106","01",140000.00,36,3888.89,14,85555.54,16800.00,10266.74,6533.26,"2022-03-08"
"0050329598","6228151354124251",闵沿,"511827197806303390","18606266260","""""","""""","0001",大额分期,活动,"20200121","01",80000.00,36,2222.23,25,24444.47,9600.00,0.00,9600.00,"2022-03-08"
"0050559563","6228161392671726",贺鹿丕,"320982199008245504","18361602720","""""","""""","0001",账单分期,新增的,"20220218","02",15000.00,12,1250.00,0,15000.00,1050.00,1050.00,0.00,"2022-03-08"
"0000300037","6228159954653629",谷休龄,"320982199006230712","15161953955","""""","""""","0001",大额分期,活动,"20210127","01",50000.00,36,1388.89,13,31944.43,6000.00,0.00,6000.00,"2022-03-08"
"0000458543","6228159881411620",温淡患,"320982199010192376","18662056111","""""","""""","0001",大额分期,活动,"20210524","05",100000.00,36,2777.78,9,74999.98,12000.00,0.00,12000.00,"2022-03-08"
"0050916390","6228151354967972",毕辱,"320982199405259379","15396870444","""""","""""","0001",大额分期,活动,"20201223","12",100000.00,36,2777.78,14,61111.08,12000.00,0.00,12000.00,"2022-03-08"
"0050981436","6228151354954608",武硬巡,"320926196904090710","13901411493","""""","""""","0001",大额分期,活动,"20210205","02",150000.00,24,6250.00,13,68750.00,12000.00,5500.00,6500.00,"2022-03-08"
"0050251428","6228151354163267",樊宅,"330624199306249396","18068866799","""""","""""","0002",灵活分期,活动,"20200506","05",8000.00,24,333.33,22,666.67,1152.00,0.00,1152.00,"2022-03-08"
"0050785202","6228161392618677",庞颇颁,"320926195607039842","13961953246","""""","""""","0002",账单分期,活动,"20211109","11",1800.00,12,150.00,4,1200.00,126.00,84.00,42.00,"2022-03-08"
"0050112899","6228151354630448",鲁篇搭,"320982198607275399","15295369055","""""","""""","0002",灵活分期,活动,"20211114","11",7000.00,6,1166.66,4,2333.33,245.00,81.68,163.32,"2022-03-08"
"0050752343","6228151354907283",贺铝辱,"320926196605089891","13905112291","""""","""""","0001",大额分期,活动,"20201022","10",80000.00,36,2222.22,16,44444.48,9600.00,0.00,9600.00,"2022-03-08"
"0050003339","6228151354678496",瞿炎悲,"320982198810126399","13390713507","""""","""""","0001",账单分期,新增的,"20220228","02",17394.34,12,1449.53,0,17394.34,1217.60,1217.60,0.00,"2022-03-08"
"0050310011","6228151354186219",向颗,"320982199107132628","15365711413","""""","""""","0001",大额分期,活动,"20191205","12",200000.00,36,5555.56,27,49999.99,24000.00,0.00,24000.00,"2022-03-08"
"0050743753","6228151354968137",常宏涝,"540102199504019923","19802501995","""""","""""","0001",大额分期,活动,"20201110","11",91991.00,36,2555.30,16,51106.10,7819.24,4344.04,3475.20,"2022-03-08"
"0050874909","6228151354963443",陶擅痴,"330726196707285835","13365180766","""""","""""","0001",大额分期,活动,"20201202","12",200000.00,36,5555.56,15,116666.65,24000.00,0.00,24000.00,"2022-03-08"
"0000435655","6228159872339624",武儒卿,"350206199105213804","17551034779","""""","""""","0001",大额分期,活动,"20190619","06",35000.00,36,972.22,32,3888.90,3150.00,0.00,3150.00,"2022-03-08"
"0050981088","6228151354954632",莫宜溃,"330624199904151399","13337992988","""""","""""","0001",大额分期,活动,"20210121","01",790000.00,36,21944.45,13,504722.23,94800.00,0.00,94800.00,"2022-03-08"
"0000131831","6228159273554680",常筹怒,"320926196709134626","13813411168","""""","""""","0001",大额分期,活动,"20210128","01",200000.00,36,5555.56,13,127777.76,24000.00,0.00,24000.00,"2022-03-08"
"0050339200","6228151354129920",季萎剑,"330702198404101427","18795485885","""""","""""","0001",大额分期,活动,"20200304","03",240000.00,36,6666.66,24,79999.98,28800.00,0.00,28800.00,"2022-03-08"
"0050329829","6228151354128518",霍巡巡,"320982198505042519","13584777478","""""","""""","0001",大额分期,活动,"20200121","01",28000.00,36,777.78,25,8555.52,2940.00,0.00,2940.00,"2022-03-08"
"0050655613","6228161392604438",贺丸汪,"350126196306250587","18851484355","""""","""""","0005",账单分期,活动,"20210519","05",2288.28,12,190.69,9,572.07,160.18,0.00,160.18,"2022-03-08"
"0050933096","6228151354967071",陶败庐,"320926197202262703","18912520664","""""","""""","0001",大额分期,活动,"20210106","01",150000.00,36,4166.66,14,91666.63,18000.00,11000.00,7000.00,"2022-03-08"
"0050318238","6228151354190906",严稍,"330701199105171749","15851105546","""""","""""","0001",大额分期,活动,"20191217","12",60000.00,36,1666.67,27,14999.98,7200.00,0.00,7200.00,"2022-03-08"
"0000472227","6228159817963629",樊龄剑,"320926197811050327","18949761591","""""","""""","0001",灵活分期,活动,"20211011","10",2480.00,6,413.34,5,413.33,86.80,14.47,72.33,"2022-03-08"
"0050572160","6228151354908653",滕畛墒,"320982199307269151","18251823897","""""","""""","0004",账单分期,活动,"20211008","10",1050.00,6,175.00,5,175.00,36.75,6.13,30.62,"2022-03-08"
"0050928376","6228151354967030",常颗骆,"320982200207079348","13174032019","""""","""""","0001",大额分期,活动,"20210108","01",100000.00,36,2777.78,14,61111.08,12000.00,0.00,12000.00,"2022-03-08"
"0000439384","6228159878826624",武攫攫,"320982199103043345","15851008916","""""","""""","0001",大额分期,活动,"20190607","06",200000.00,36,5555.56,33,16666.66,24000.00,2000.01,21999.99,"2022-03-08"
"0000406796","6228159856242620",鲁筹患,"320926196203294681","15961958788","""""","""""","0001",大额分期,活动,"20190417","04",180000.00,36,5000.00,35,5000.00,21600.00,0.00,21600.00,"2022-03-08"
"0050642980","6228151354907259",武吁茂,"320926197203220628","15251088721","""""","""""","0001",大额分期,活动,"20200905","09",50000.00,24,2083.33,18,12500.01,4000.00,0.00,4000.00,"2022-03-08"
"0050893454","6228151354969911",翟败勇,"330701197712082597","15250512977","""""","""""","0001",大额分期,活动,"20210119","01",78997.00,36,2194.36,13,50470.32,6714.75,4289.99,2424.76,"2022-03-08"
"0000412526","6228159897462625",文勇,"320982198804268593","18061417886","""""","""""","0001",灵活分期,活动,"20200905","09",3000.00,24,125.00,18,750.00,432.00,0.00,432.00,"2022-03-08"
"0050432292","6228151354149670",贺驱屏,"33070219870420142X","18994423488","""""","""""","0001",大额分期,活动,"20200610","06",89513.00,36,2486.48,21,37297.12,7608.61,3170.26,4438.35,"2022-03-08"
"0000315627","6228159992363629",贺搭,"320982199202129398","13390697081","""""","""""","0001",账单分期,活动,"20210819","08",3587.00,12,298.91,6,1793.49,251.09,125.57,125.52,"2022-03-08"
"0050112899","6228151354630448",鲁篇搭,"320982198607275399","15295369055","""""","""""","0001",灵活分期,活动,"20211114","11",5000.00,6,833.33,4,1666.67,175.00,58.34,116.66,"2022-03-08"
"0050834507","6228151354962551",耿碗患,"320982196210161271","15722588762","""""","""""","0001",大额分期,活动,"20201120","11",300000.00,36,8333.34,15,175000.03,36000.00,0.00,36000.00,"2022-03-08"
"0050053128","6228151354663563",莫萍,"330624198607301392","15851052584","""""","""""","0005",账单分期,活动,"20210507","05",2114.46,12,176.20,10,352.41,148.01,0.00,148.01,"2022-03-08"
"0050423609","6228151354141099",武邢,"330624199405108388","15251055593","""""","""""","0001",账单分期,活动,"20220110","01",3311.49,6,551.91,2,2207.66,115.90,77.28,38.62,"2022-03-08"
"0050392566","6228151354140620",宫唤败,"330726196412204217","13770202237","""""","""""","0001",账单分期,活动,"20211221","12",14000.00,12,1166.67,2,11666.66,980.00,816.68,163.32,"2022-03-08"
"0000410760","6228159894280624",隋页剑,"341522198707271308","15051093738","""""","""""","0001",大额分期,活动,"20190612","06",88000.00,36,2444.45,33,7333.33,10560.00,0.00,10560.00,"2022-03-08"
"0050138963","6228151354635504",殷硬勇,"320911198612061488","15751117333","""""","""""","0002",账单分期,活动,"20210410","04",10000.00,12,833.34,11,833.33,700.00,0.00,700.00,"2022-03-08"
"0050284287","6228151354117156",费驻驻,"320982199205131290","19802618689","""""","""""","0003",账单分期,活动,"20220207","02",6300.00,6,1050.00,1,5250.00,220.50,183.75,36.75,"2022-03-08"
"0051254366","6228151354952644",易敢截,"34242119760614307X","17352325769","""""","""""","0001",大额分期,活动,"20220124","01",95914.00,36,2664.28,1,93249.72,8152.69,7926.23,226.46,"2022-03-08"
"0051251163","6228151354910915",庞莲络,"320926196704210271","15961959682","""""","""""","0001",大额分期,活动,"20220112","01",100000.00,36,2777.78,2,94444.44,12000.00,11333.34,666.66,"2022-03-08"
"0050412319","6228151354141396",贺茸,"320982199711205395","13770280263","""""","""""","0001",大额分期,活动,"20200526","05",80000.00,24,3333.34,21,10000.00,6400.00,0.00,6400.00,"2022-03-08"
"0050655613","6228161392604438",贺丸汪,"350126196306250587","18851484355","""""","""""","0007",账单分期,活动,"20210819","08",2290.50,12,190.87,6,1145.25,160.34,80.18,80.16,"2022-03-08"
"0000400039","6228159854655625",武桔碾,"320982199506060713","13092133932","""""","""""","0001",大额分期,活动,"20190403","04",200000.00,36,5555.56,35,5555.55,24000.00,0.00,24000.00,"2022-03-08"
"0050318770","6228151354194213",沿赴怒,"320926196105044347","13813411628","""""","""""","0001",大额分期,活动,"20191217","12",100000.00,36,2777.78,27,24999.97,12000.00,0.00,12000.00,"2022-03-08"
"0000472227","6228159817963629",樊龄剑,"320926197811050327","18949761591","""""","""""","0005",账单分期,新增的,"20220219","02",1190.47,3,396.82,0,1190.47,19.05,19.05,0.00,"2022-03-08"
"0050572160","6228151354908653",滕畛墒,"320982199307269151","18251823897","""""","""""","0005",账单分期,活动,"20211212","12",2708.70,6,451.45,3,1354.35,94.80,47.40,47.40,"2022-03-08"
"0000500253","6228159654931622",常释迦,"320982199301129377","17768978000","""""","""""","0001",大额分期,活动,"20190706","07",200000.00,36,5555.55,32,22222.22,24000.00,2666.68,21333.32,"2022-03-08"
"0050479095","6228151354147906",官驻垂,"320926197707052998","13921823380","""""","""""","0001",大额分期,活动,"20200624","06",80000.00,36,2222.22,20,35555.60,9600.00,4266.72,5333.28,"2022-03-08"
"0051056023","6228151354958302",严罢,"320982199701259015","15366591620","""""","""""","0001",大额分期,活动,"20210322","03",110000.00,24,4583.34,11,59583.35,8800.00,4766.71,4033.29,"2022-03-08"
"0050613929","6228161392677574",胥罢,"320982198310290715","13914698217","""""","""""","0001",账单分期,活动,"20220211","02",4500.00,3,1500.00,1,3000.00,72.00,48.00,24.00,"2022-03-08"
"0051087455","6228151354951232",安雪络,"320926197706130392","18261246080","""""","""""","0001",大额分期,活动,"20210427","04",60000.00,24,2500.00,10,35000.00,4800.00,0.00,4800.00,"2022-03-08"
"0050370939","6228151354123592",常糟纭,"320926197401043511","15851010888","""""","""""","0001",大额分期,活动,"20200428","04",95000.00,36,2638.89,22,36944.42,11400.00,0.00,11400.00,"2022-03-08"
"0000311044","6228159993616629",陶莲厅,"320982198510212324","13584775277","""""","""""","0001",大额分期,活动,"20210412","04",55000.00,36,1527.78,11,38194.42,4950.00,0.00,4950.00,"2022-03-08"
"0050309473","6228151354186474",龚唤巡,"320926197211060716","13813418884","""""","""""","0001",大额分期,活动,"20191205","12",50000.00,36,1388.89,27,12499.97,6000.00,0.00,6000.00,"2022-03-08"
"0050112899","6228151354630448",鲁篇搭,"320982198607275399","15295369055","""""","""""","0003",灵活分期,活动,"20211114","11",2000.00,6,333.33,4,666.67,70.00,23.34,46.66,"2022-03-08"
"0050900173","6228151354963757",贺吁,"320911197208241300","13605112080","""""","""""","0001",大额分期,活动,"20201215","12",170000.00,36,4722.22,15,99166.70,20400.00,0.00,20400.00,"2022-03-08"
"0000267526","6228159505462629",庞休侨,"331003199208261267","15189282575","""""","""""","0007",账单分期,活动,"20220111","01",3599.00,3,1199.67,2,1199.66,57.58,19.20,38.38,"2022-03-08"
"0051218595","6228151354959052",覃搭烬,"330624199604289388","18921884999","""""","""""","0001",大额分期,活动,"20211101","11",62156.00,36,1726.56,4,55249.76,5283.26,4696.26,587.00,"2022-03-08"
"0050706111","6228151354905394",宁乌晰,"320911199005110799","18860829533","""""","""""","0001",大额分期,活动,"20200930","09",94477.00,36,2624.36,17,49862.88,8030.55,4238.36,3792.19,"2022-03-08"
"0000026437","6228159326753628",邸匪巡,"320926197109292393","13961954833","""""","""""","0023",账单分期,活动,"20210411","04",6000.00,12,500.00,11,500.00,420.00,0.00,420.00,"2022-03-08"
"0050138963","6228151354635504",殷硬勇,"320911198612061488","15751117333","""""","""""","0003",账单分期,活动,"20210711","07",9899.00,12,824.91,8,3299.66,692.93,0.00,692.93,"2022-03-08"
"0050284287","6228151354117156",费驻驻,"320982199205131290","19802618689","""""","""""","0004",账单分期,新增的,"20220221","02",10000.00,6,1666.67,0,10000.00,350.00,350.00,0.00,"2022-03-08"
"0051240459","6228151354955233",辛绳勇,"320926196510256394","13770288883","""""","""""","0001",大额分期,活动,"20211201","12",50000.00,36,1388.89,3,45833.33,6000.00,5500.02,499.98,"2022-03-08"
"0050801962","6228151354962411",童拍唐,"320926196409235767","13625862883","""""","""""","0001",大额分期,活动,"20210112","01",200000.00,36,5555.55,14,122222.21,18000.00,0.00,18000.00,"2022-03-08"
"0000012397","6228159397843621",滕聚辱,"320926197308075711","13390712005","""""","""""","0006",账单分期,活动,"20210509","05",4460.00,12,371.66,10,743.33,312.20,0.00,312.20,"2022-03-08"
"0050655613","6228161392604438",贺丸汪,"350126196306250587","18851484355","""""","""""","0009",账单分期,活动,"20211122","11",1415.01,12,117.92,3,1061.25,99.05,74.30,24.75,"2022-03-08"
"0000400481","6228159854724629",辛蒜匪,"32092619690123239X","15061607888","""""","""""","0002",账单分期,活动,"20220107","01",2809.35,12,234.11,2,2341.13,196.65,163.89,32.76,"2022-03-08"
